,Average Time,Game_Duration,Time_Per_Move,Number_of_Turns
11069,0.02,9.56,0.21,45
11070,0.02,10.74,0.17,63
11071,0.01,14.1,0.19,75
11072,0.02,9.53,0.17,56
11073,0.02,6.78,0.14,50
11074,0.02,11.96,0.18,66
11075,0.01,12.8,0.15,87
11076,0.02,11.34,0.24,47
11077,0.03,6.5,0.18,37
11078,0.01,20.24,0.15,138
11079,0.03,4.6,0.13,35
11080,0.01,12.22,0.17,74
11081,0.02,13.18,0.27,48
11082,0.02,7.0,0.15,46
11083,0.01,13.87,0.17,84
11084,0.05,11.88,0.54,22
11085,0.02,3.79,0.09,40
11086,0.01,18.46,0.21,89
11087,0.01,13.52,0.19,70
11088,0.01,18.08,0.22,82
11089,0.02,7.6,0.14,56
11090,0.01,18.08,0.13,141
11091,0.01,13.1,0.15,89
11092,0.01,13.77,0.17,82
11093,0.01,14.61,0.16,94
11094,0.02,8.48,0.18,46
11095,0.02,7.57,0.14,55
11096,0.01,12.45,0.1,124
11097,0.02,6.2,0.14,45
11098,0.01,13.94,0.16,89
11099,0.01,12.16,0.11,112
11100,0.01,16.46,0.14,116
11101,0.02,7.01,0.13,53
11102,0.03,4.1,0.14,30
11103,0.01,8.16,0.09,94
11104,0.01,8.04,0.11,74
11105,0.02,7.19,0.14,50
11106,0.01,8.02,0.11,73
11107,0.02,6.38,0.11,58
11108,0.02,9.64,0.18,54
11109,0.02,7.52,0.17,43
11110,0.02,7.84,0.15,54
11111,0.02,12.17,0.2,60
11112,0.03,5.4,0.16,34
11113,0.01,10.17,0.15,67
11114,0.02,13.61,0.31,44
11115,0.04,6.06,0.24,25
11116,0.02,5.26,0.1,52
11117,0.02,5.24,0.13,41
11118,0.02,5.03,0.11,44
11119,0.01,19.62,0.28,69
11120,0.02,33.73,0.77,44
11121,0.01,7.35,0.11,65
11122,0.02,4.96,0.1,50
11123,0.02,4.87,0.11,44
11124,0.01,16.36,0.14,116
11125,0.01,8.77,0.13,69
11126,0.01,14.68,0.18,80
11127,0.02,9.74,0.21,46
11128,0.03,8.78,0.23,39
11129,0.07,5.7,0.38,15
11130,0.04,3.98,0.17,23
11131,0.02,11.45,0.19,59
11132,0.02,14.43,0.26,56
11133,0.33,4.78,1.59,3
11134,0.02,28.61,0.55,52
11135,0.01,19.33,0.28,68
11136,0.5,25.17,12.58,2
11137,0.03,4.57,0.12,37
11138,0.03,28.09,0.85,33
11139,0.03,8.94,0.24,38
11140,0.03,7.51,0.21,35
11141,0.01,12.35,0.17,74
11142,0.01,19.44,0.2,95
11143,0.02,12.36,0.27,45
11144,0.01,18.01,0.24,76
11145,0.04,12.54,0.46,27
11146,0.01,29.87,0.37,81
11147,0.02,9.0,0.18,50
11148,0.04,7.53,0.28,27
11149,0.03,5.81,0.15,38
11150,0.13,1.19,0.15,8
11152,0.03,7.71,0.21,37
11153,0.01,18.08,0.2,92
11154,0.02,11.87,0.22,55
11155,0.08,26.61,2.22,12
11156,0.01,24.74,0.26,95
11157,0.01,39.5,0.36,110
11158,0.01,37.73,0.37,103
11159,0.01,33.99,0.48,71
11160,0.01,22.83,0.19,122
11161,0.03,13.07,0.33,40
11162,0.02,34.5,0.77,45
11163,0.03,7.27,0.21,35
11164,0.01,14.91,0.17,86
11165,0.02,11.38,0.21,55
11166,0.03,9.42,0.24,39
11167,0.02,21.64,0.35,61
11168,0.01,19.72,0.24,82
11169,0.05,34.11,1.8,19
11170,0.08,2.07,0.17,12
11171,0.05,14.37,0.68,21
11172,0.02,30.88,0.51,60
11173,0.03,34.06,0.97,35
11174,0.05,16.61,0.79,21
11175,0.02,10.49,0.2,53
11176,0.03,7.05,0.18,40
11177,0.02,10.76,0.18,59
11178,0.02,6.43,0.15,43
11179,0.02,7.26,0.17,43
11180,0.02,12.26,0.19,63
11181,0.02,11.54,0.2,57
11182,0.01,11.6,0.13,91
11183,0.02,14.27,0.23,61
11184,0.01,13.35,0.13,103
11185,0.02,6.18,0.11,57
11186,0.02,8.91,0.15,60
11187,0.01,15.67,0.11,142
11188,0.01,15.75,0.16,99
11189,0.02,9.0,0.2,45
11191,0.02,12.49,0.24,53
11192,0.02,6.95,0.11,61
11193,0.02,4.61,0.09,50
11194,0.01,14.41,0.2,73
11195,0.01,11.07,0.13,85
11196,0.01,7.48,0.11,69
11197,0.02,9.93,0.23,43
11198,0.01,13.69,0.19,73
11199,0.02,5.33,0.09,59
11200,0.01,11.24,0.15,73
11201,0.03,3.02,0.08,36
11202,0.01,10.73,0.11,99
11203,0.01,11.07,0.14,78
11204,0.02,13.94,0.21,67
11205,0.01,12.65,0.14,89
11206,0.01,16.04,0.18,87
11207,0.01,15.36,0.14,111
11208,0.01,8.22,0.12,66
11209,0.01,11.37,0.16,71
11210,0.01,12.59,0.17,72
11211,0.02,9.55,0.16,60
11310,0.02,9.05,0.15,61
11311,0.01,18.79,0.2,95
11312,0.02,11.91,0.2,59
11313,0.02,8.29,0.18,47
11314,0.01,21.02,0.18,119
11315,0.03,2.68,0.07,41
11316,0.01,8.77,0.11,81
11317,0.01,16.51,0.14,116
11318,0.01,9.45,0.1,99
11319,0.01,8.5,0.11,77
11320,0.01,14.95,0.18,81
11323,0.01,24.55,0.25,98
11324,0.05,1.46,0.08,18
11325,0.01,15.32,0.16,95
11342,0.02,20.24,0.39,52
11344,0.02,14.06,0.25,56
11345,0.02,9.14,0.15,62
11346,0.01,14.24,0.21,69
11347,0.01,18.2,0.1,189
11348,0.02,6.47,0.1,64
11349,0.01,12.36,0.16,77
11350,0.03,4.38,0.15,29
11351,0.01,14.22,0.17,86
11352,0.01,9.62,0.12,78
11353,0.05,2.85,0.13,22
11354,0.01,28.14,0.24,117
11355,0.01,20.69,0.12,168
11389,0.01,12.43,0.18,71
11390,0.01,22.51,0.33,68
11391,0.04,1.86,0.07,28
11392,0.01,7.06,0.08,93
11393,0.02,5.27,0.09,56
11394,0.03,4.39,0.14,31
11395,0.01,16.71,0.19,89
