,Average Time,Game_Duration,Time_Per_Move,Number_of_Turns
14939,0.01,11.1,0.11,97
14940,0.01,14.82,0.1,148
14941,0.02,20.78,0.35,59
14942,0.04,5.52,0.22,25
14943,0.02,12.89,0.23,56
14944,0.02,8.1,0.18,45
14945,0.02,12.04,0.24,50
14946,0.01,14.72,0.12,127
14947,0.01,14.06,0.2,70
14948,0.02,6.51,0.14,47
14949,0.01,8.4,0.11,74
14950,0.03,7.9,0.2,40
14951,0.01,25.06,0.37,67
14952,0.01,9.05,0.1,89
14953,0.03,3.05,0.08,37
14954,0.01,7.39,0.09,83
14955,0.02,4.44,0.11,39
14956,0.02,7.88,0.18,43
14957,0.02,3.59,0.07,55
14958,0.01,5.47,0.08,67
14959,0.01,10.91,0.14,80
14960,0.02,12.25,0.26,47
14961,0.01,19.63,0.17,113
14962,0.01,14.5,0.13,108
14963,0.02,5.63,0.13,43
14964,0.07,1.36,0.1,13
14965,0.01,20.42,0.15,138
14966,0.02,7.7,0.16,47
14967,0.06,1.8,0.11,16
14968,0.05,2.3,0.12,19
14969,0.02,12.7,0.26,49
14970,0.03,6.71,0.2,33
14971,0.02,11.18,0.18,63
14972,0.02,10.57,0.26,41
14973,0.02,20.85,0.38,55
14974,0.06,1.55,0.1,15
14975,0.02,6.09,0.15,42
14976,0.04,3.62,0.15,24
14977,0.02,10.88,0.2,54
14978,0.05,3.69,0.18,20
14979,0.01,14.25,0.2,72
14980,0.02,10.71,0.21,51
14981,0.02,8.17,0.17,48
14982,0.02,7.62,0.16,47
14983,0.02,6.29,0.14,44
14984,0.03,2.84,0.09,31
14985,0.01,12.59,0.14,91
14986,0.04,2.98,0.11,28
14987,0.04,3.23,0.14,23
14988,0.03,4.64,0.13,37
14989,0.05,2.84,0.14,20
14990,0.06,2.33,0.13,18
14992,0.03,6.37,0.19,33
14993,0.02,7.52,0.18,42
14994,0.03,7.25,0.21,35
14995,0.03,7.71,0.24,32
14996,0.02,14.89,0.24,61
14997,0.02,13.46,0.22,60
14998,0.03,4.16,0.12,36
14999,0.01,26.3,0.15,180
15000,0.01,17.23,0.25,68
15001,0.04,2.47,0.1,26
15002,0.01,10.66,0.14,74
15003,0.01,19.75,0.16,124
15004,0.01,13.11,0.15,90
15006,0.02,10.24,0.16,64
15009,0.02,18.5,0.31,59
15010,0.01,26.04,0.23,113
15011,0.02,13.92,0.22,62
15012,0.02,6.08,0.1,58
15013,0.08,2.98,0.25,12
15014,0.01,13.95,0.17,84
15015,0.02,5.61,0.14,41
15016,0.02,4.4,0.1,43
15017,0.06,2.44,0.14,17
15018,0.03,7.79,0.21,37
15034,0.02,10.8,0.19,56
15035,0.05,3.54,0.18,20
15036,0.02,11.74,0.27,43
15037,0.02,22.82,0.37,62
15038,0.01,6.94,0.09,77
15039,0.03,2.27,0.07,31
15040,0.33,1.03,0.34,3
15042,0.02,4.76,0.08,63
15043,0.01,6.92,0.1,69
15044,0.02,14.16,0.27,52
15045,0.02,13.42,0.21,63
15046,0.01,21.63,0.22,99
15047,0.02,14.38,0.34,42
15048,0.02,21.4,0.33,64
15049,0.02,35.65,0.66,54
15050,0.02,7.46,0.15,50
15051,0.02,16.37,0.37,44
15052,0.02,18.04,0.42,43
15053,0.01,16.29,0.2,82
15054,0.06,2.74,0.17,16
15055,0.01,18.77,0.14,134
15056,0.04,2.32,0.09,27
15057,0.01,21.97,0.19,117
15058,0.02,13.96,0.32,43
15059,0.01,6.13,0.09,68
15060,0.02,17.88,0.28,63
15061,0.02,38.2,0.66,58
15062,0.02,21.47,0.41,52
15063,0.03,8.41,0.23,36
15064,0.01,20.23,0.26,78
15065,0.02,16.12,0.3,54
15066,0.02,32.02,0.59,54
15067,0.02,11.4,0.19,59
15068,0.02,26.16,0.42,63
15069,0.02,19.05,0.35,54
15070,0.03,6.48,0.2,32
15071,0.02,21.87,0.42,52
15072,0.02,12.1,0.27,45
15073,0.03,4.3,0.14,31
15074,0.01,18.85,0.28,68
15075,0.02,5.09,0.1,50
15076,0.01,17.4,0.21,83
15077,0.02,13.89,0.23,61
15078,0.01,27.05,0.35,78
15079,0.01,21.2,0.28,77
15080,0.01,26.78,0.32,84
15081,0.02,3.77,0.09,40
15082,0.02,11.32,0.22,51
15083,0.01,13.52,0.13,106
15084,0.02,4.89,0.12,42
15085,0.04,1.52,0.06,25
15086,0.01,11.09,0.12,94
15087,0.03,8.76,0.22,40
15088,0.02,9.44,0.18,53
15089,0.01,16.63,0.22,77
15090,0.01,17.34,0.13,138
15091,0.01,11.16,0.14,78
15092,0.01,14.9,0.21,72
15093,0.01,16.3,0.15,108
15094,0.04,3.22,0.12,27
15095,0.01,18.38,0.26,71
15096,0.01,11.45,0.12,94
15097,0.02,7.49,0.17,45
15098,0.02,11.86,0.2,58
15099,0.01,15.21,0.2,76
15100,0.01,20.08,0.16,127
15101,0.01,8.51,0.1,86
15102,0.02,7.34,0.17,43
15103,0.03,11.12,0.28,40
15104,0.05,2.56,0.13,20
15105,0.01,16.67,0.19,88
15106,0.01,6.57,0.09,73
15107,0.01,20.84,0.14,148
15108,0.02,10.11,0.22,46
15109,0.02,7.83,0.16,49
15110,0.02,7.48,0.14,52
15111,0.02,13.42,0.21,64
15112,0.01,9.52,0.08,124
15113,0.02,12.39,0.19,65
15114,0.02,10.39,0.25,41
15115,0.03,4.75,0.16,30
15116,0.02,10.61,0.19,55
15117,0.03,5.7,0.17,33
15118,0.03,7.87,0.2,39
15119,0.04,6.53,0.24,27
15120,0.02,13.54,0.22,61
15121,0.03,5.02,0.13,39
15122,0.02,11.84,0.26,45
15123,0.01,9.12,0.13,71
15124,0.01,11.91,0.17,71
15125,0.02,11.39,0.22,51
15126,0.03,10.57,0.29,37
15127,0.02,21.78,0.36,60
15128,0.05,8.93,0.41,22
15129,0.03,5.62,0.18,31
15130,0.04,2.59,0.1,26
15131,0.02,4.08,0.1,41
15132,0.01,15.48,0.22,72
15133,0.03,7.35,0.23,32
15134,0.02,9.11,0.16,57
15135,0.02,10.13,0.19,52
15136,0.03,4.68,0.14,33
15137,0.02,5.91,0.14,41
15138,0.02,10.64,0.22,48
15139,0.03,4.88,0.13,39
15140,0.02,9.23,0.2,46
15141,0.02,10.34,0.2,51
15142,0.03,5.57,0.19,29
15143,0.01,13.0,0.19,69
15144,0.06,1.4,0.08,17
15145,0.01,11.2,0.13,84
15146,0.02,16.69,0.34,49
15147,0.02,14.78,0.31,47
15148,0.02,16.38,0.31,53
15149,0.01,15.74,0.21,76
15150,0.02,8.98,0.19,48
15151,0.02,6.74,0.12,57
15152,0.05,3.21,0.17,19
15153,0.01,11.88,0.16,76
15154,0.03,11.0,0.34,32
15155,0.01,14.3,0.21,67
15156,0.01,16.48,0.15,109
15157,0.01,11.83,0.17,71
15158,0.01,13.7,0.19,72
15159,0.02,13.6,0.33,41
15160,0.02,43.97,0.68,65
15161,0.01,11.34,0.11,99
15162,0.07,6.46,0.43,15
15163,0.03,6.51,0.17,39
15164,0.03,8.27,0.27,31
15165,0.03,4.19,0.12,36
15166,0.02,8.85,0.14,63
15167,0.02,6.29,0.14,44
15168,0.06,1.67,0.1,17
15169,0.05,1.48,0.07,20
15170,0.01,36.14,0.48,76
15171,0.01,34.99,0.26,133
15172,0.05,3.87,0.18,21
15173,0.01,12.88,0.11,115
15174,0.03,6.39,0.17,37
15175,0.01,13.82,0.14,100
15176,0.02,4.02,0.07,61
15177,0.33,2.68,0.89,3
15178,0.01,20.24,0.17,117
15179,0.01,9.98,0.14,73
15180,0.01,9.61,0.14,71
15181,0.01,16.09,0.17,97
15182,0.02,7.68,0.18,42
15183,0.01,10.93,0.15,73
15184,0.02,9.79,0.22,44
15185,0.07,1.68,0.11,16
15187,0.02,2.0,0.05,40
15188,0.02,8.41,0.15,57
15189,0.07,2.53,0.17,15
15190,0.01,6.1,0.07,91
15191,0.01,7.5,0.11,66
15192,0.02,10.74,0.22,49
15193,0.02,9.45,0.18,53
15194,0.03,4.6,0.14,32
15195,0.02,7.36,0.12,61
15196,0.02,11.23,0.18,62
15197,0.01,16.76,0.1,161
15198,0.03,4.99,0.13,39
15199,0.02,13.22,0.25,52
15200,0.02,5.62,0.14,39
15201,0.02,5.61,0.13,43
15202,0.02,4.55,0.1,46
15203,0.06,1.55,0.1,15
15204,0.02,6.93,0.11,62
15205,0.01,12.69,0.12,105
15206,0.05,2.12,0.11,19
15207,0.01,9.58,0.14,68
15208,0.03,3.12,0.08,38
15209,0.03,6.17,0.2,31
15210,0.07,1.84,0.12,15
15211,0.03,5.13,0.13,41
15212,0.02,8.58,0.14,61
15213,0.01,18.51,0.17,110
15214,0.02,7.83,0.15,53
15215,0.02,7.09,0.13,56
15216,0.02,7.23,0.11,65
15217,0.04,5.03,0.19,26
15219,0.01,8.01,0.08,103
15220,0.02,4.44,0.09,48
15221,0.01,15.8,0.16,96
15222,0.01,17.9,0.15,120
15223,0.01,14.71,0.15,96
15224,0.02,9.87,0.15,64
15225,0.02,11.82,0.18,66
15226,0.01,11.99,0.15,80
15227,0.02,4.65,0.11,41
15228,0.02,9.21,0.16,57
15229,0.01,8.76,0.08,109
15230,0.03,3.09,0.09,36
15231,0.01,12.34,0.16,79
15232,0.01,8.8,0.11,79
15233,0.02,8.27,0.14,58
15234,0.01,9.41,0.14,65
15235,0.02,5.54,0.12,48
15236,0.01,5.57,0.07,75
15237,0.03,7.19,0.18,41
15238,0.01,10.24,0.15,69
15239,0.01,6.7,0.08,82
15240,0.03,4.11,0.12,33
15241,0.01,13.21,0.18,74
15242,0.01,6.92,0.09,74
15243,0.01,13.8,0.16,88
15244,0.02,3.31,0.08,40
15245,0.01,12.47,0.11,112
15246,0.01,9.96,0.12,81
15247,0.02,8.26,0.16,51
15248,0.03,11.37,0.31,37
15249,0.03,3.02,0.08,39
15250,0.01,12.78,0.16,79
15251,0.01,9.21,0.12,80
15252,0.01,8.73,0.09,95
15253,0.02,6.86,0.11,64
15254,0.02,7.38,0.16,47
15255,0.02,7.72,0.14,54
15256,0.02,5.41,0.12,45
15257,0.02,6.41,0.11,58
15258,0.02,3.67,0.09,39
15259,0.02,14.64,0.3,48
15260,0.02,9.93,0.16,63
15261,0.02,6.79,0.11,63
15262,0.02,4.81,0.08,59
15263,0.01,13.62,0.11,122
15264,0.04,2.53,0.09,28
15265,0.01,14.66,0.11,137
15266,0.03,3.79,0.11,35
15267,0.03,5.73,0.17,34
15268,0.01,15.1,0.2,74
15269,0.02,12.14,0.26,46
15270,0.01,25.22,0.37,69
15271,0.01,18.27,0.2,91
15272,0.02,9.5,0.19,49
15273,0.03,11.41,0.29,40
15274,0.06,2.66,0.15,18
15275,0.04,2.41,0.1,25
15276,0.01,26.08,0.31,84
15277,0.02,11.47,0.21,54
15278,0.03,11.21,0.35,32
15279,0.01,11.02,0.09,127
15280,0.02,16.95,0.26,65
15281,0.03,6.83,0.22,31
15282,0.03,7.02,0.18,39
15283,0.07,2.7,0.18,15
15284,0.03,3.31,0.11,31
15285,0.02,15.13,0.28,55
15286,0.03,13.25,0.34,39
15287,0.02,13.11,0.21,63
15288,0.01,21.85,0.32,68
15289,0.04,4.61,0.17,27
15290,0.01,12.91,0.16,79
15291,0.02,16.09,0.25,65
15292,0.01,38.37,0.5,76
15293,0.05,3.37,0.17,20
15294,0.02,14.83,0.36,41
15295,0.02,8.97,0.18,50
15296,0.01,19.35,0.19,101
15297,0.04,2.94,0.13,22
15298,0.01,17.11,0.11,161
15299,0.01,12.53,0.09,136
15300,0.01,10.05,0.13,80
15301,0.02,18.34,0.33,56
15302,0.01,11.7,0.11,106
15303,0.2,2.53,0.51,5
15304,0.07,21.86,1.56,14
15305,0.01,34.31,0.5,68
15306,0.01,16.39,0.23,71
15307,0.02,6.08,0.1,58
15308,0.01,15.35,0.19,80
15309,0.01,23.9,0.23,106
15310,0.02,5.89,0.1,57
15311,0.03,4.65,0.14,33
15312,0.03,4.59,0.12,39
15313,0.01,33.87,0.37,92
15314,0.05,6.78,0.32,21
15315,0.02,9.43,0.17,55
15316,0.06,5.33,0.3,18
15317,0.02,13.78,0.34,40
15318,0.02,9.73,0.23,43
15319,0.07,13.2,0.94,14
15320,0.03,11.04,0.37,30
15321,0.02,18.5,0.34,54
15322,0.02,19.34,0.31,63
15323,0.02,12.17,0.28,44
15324,0.02,10.24,0.18,56
15325,0.01,14.56,0.17,86
15326,0.04,2.44,0.09,27
15327,0.02,8.68,0.17,50
15328,0.03,10.54,0.28,38
15329,0.03,7.38,0.22,34
15330,0.02,9.08,0.17,55
15331,0.01,12.6,0.18,71
15332,0.01,13.81,0.13,109
15333,0.01,9.6,0.11,84
15334,0.01,17.21,0.23,76
15335,0.02,11.51,0.18,65
15336,0.04,5.19,0.19,27
15337,0.08,2.07,0.16,13
15338,0.02,7.82,0.12,66
15339,0.01,8.5,0.11,79
15340,0.01,12.2,0.16,76
15341,0.01,9.91,0.12,82
15342,0.02,20.74,0.32,65
15343,0.02,9.91,0.16,62
15344,0.02,12.12,0.21,58
15345,0.02,11.79,0.24,49
15346,0.02,7.77,0.18,43
15347,0.02,15.42,0.35,44
15348,0.01,14.41,0.16,91
15349,0.02,5.15,0.09,57
15350,0.01,10.93,0.09,127
15351,0.01,8.93,0.13,70
15352,0.02,6.87,0.15,47
15353,0.02,21.65,0.37,59
15354,0.05,3.17,0.17,19
15355,0.02,13.46,0.3,45
15356,0.02,8.85,0.21,42
15357,0.05,2.38,0.13,19
15358,0.02,9.92,0.17,60
15359,0.02,9.05,0.18,50
15360,0.03,5.47,0.15,37
15361,0.01,17.57,0.23,76
15362,0.02,6.59,0.14,46
15363,0.09,1.64,0.15,11
15364,0.01,11.12,0.14,77
15365,0.05,5.45,0.27,20
15366,0.03,4.11,0.11,37
15367,0.01,22.13,0.25,89
15368,0.06,2.0,0.12,17
15369,0.03,14.88,0.5,30
15370,0.01,11.13,0.14,77
15371,0.01,16.94,0.14,124
15372,0.02,11.37,0.26,43
15373,0.03,8.29,0.22,37
15374,0.02,10.39,0.2,53
15375,0.01,12.54,0.16,80
15376,0.01,13.79,0.15,91
15377,0.01,17.93,0.16,109
15378,0.02,12.83,0.25,51
15379,0.02,13.22,0.31,43
15380,0.01,15.51,0.2,77
15381,0.01,18.84,0.14,130
15382,0.01,21.43,0.25,85
15383,0.02,13.96,0.27,51
15384,0.02,9.78,0.18,53
15385,0.03,8.23,0.23,36
15386,0.04,4.34,0.17,26
15387,0.02,13.19,0.25,52
15388,0.01,19.17,0.14,139
15389,0.01,18.77,0.26,72
15390,0.01,28.87,0.2,142
15391,0.02,8.45,0.14,60
15392,0.04,1.26,0.05,23
15393,0.11,12.15,1.35,9
15394,0.02,7.33,0.17,43
15395,0.01,13.12,0.09,141
15396,0.01,20.1,0.13,153
15397,0.01,16.54,0.22,76
15398,0.01,8.79,0.12,73
15399,0.04,3.06,0.13,24
15400,0.01,7.93,0.1,81
15401,0.02,8.52,0.15,57
15402,0.03,2.63,0.08,35
15403,0.03,6.94,0.18,39
15404,0.03,2.57,0.08,31
15405,0.02,2.37,0.05,47
15406,0.01,12.43,0.09,137
15407,0.02,9.54,0.16,58
15408,0.01,14.69,0.13,112
15409,0.02,6.19,0.13,48
15410,0.02,10.06,0.17,59
15411,0.01,9.63,0.09,109
15412,0.01,9.19,0.13,69
15413,0.02,2.87,0.05,55
15414,0.02,2.67,0.05,52
15415,0.01,6.56,0.05,134
15416,0.01,9.02,0.08,109
15417,0.01,9.32,0.1,90
15418,0.02,6.91,0.11,63
15419,0.02,8.78,0.14,62
15420,0.03,3.78,0.1,38
15421,0.03,4.72,0.15,31
15422,0.01,18.21,0.11,166
15423,0.01,8.26,0.07,114
15424,0.01,8.71,0.13,66
15425,0.02,4.43,0.1,43
15426,0.01,11.55,0.11,103
15427,0.02,6.8,0.13,54
15428,0.01,13.8,0.1,140
15429,0.01,13.02,0.18,73
15430,0.02,6.31,0.13,49
15431,0.04,3.34,0.13,25
15432,0.03,5.21,0.15,34
15433,0.02,9.67,0.21,45
15434,0.02,3.53,0.08,44
15435,0.01,14.95,0.12,123
15436,0.02,7.77,0.18,43
15437,0.03,8.74,0.22,39
15438,0.02,4.8,0.12,40
15439,0.02,9.36,0.16,58
15440,0.02,14.28,0.22,66
15441,0.04,2.68,0.12,22
15442,0.02,8.02,0.15,54
15443,0.02,3.53,0.07,52
15444,0.02,20.98,0.34,61
15445,0.03,8.82,0.28,31
15446,0.01,41.14,0.22,183
15447,0.01,15.13,0.1,159
15448,0.01,17.17,0.15,116
15449,0.02,7.2,0.14,53
15450,0.01,18.28,0.16,114
15451,0.01,26.11,0.27,96
15452,0.01,15.63,0.11,141
15453,0.01,18.2,0.12,151
15454,0.01,17.32,0.18,98
15455,0.01,14.23,0.14,105
15456,0.01,30.15,0.23,131
15457,0.01,23.49,0.31,77
15458,0.01,21.27,0.2,105
15459,0.02,10.52,0.19,55
15460,0.01,26.36,0.37,72
15461,0.01,19.67,0.23,87
15462,0.02,11.78,0.19,62
15463,0.02,8.46,0.16,53
15464,0.01,6.52,0.09,75
15465,0.04,2.49,0.1,26
15466,0.01,16.89,0.12,142
15467,0.02,12.02,0.25,49
15468,0.01,12.46,0.14,87
15469,0.01,13.88,0.16,88
15470,0.01,30.06,0.28,107
15471,0.01,18.94,0.14,132
15472,0.03,5.63,0.15,38
15473,0.01,16.81,0.15,110
15474,0.01,18.21,0.22,81
15475,0.01,11.19,0.09,129
15476,0.01,18.85,0.15,126
15477,0.01,19.9,0.16,123
15478,0.0,17.7,0.08,222
15479,0.03,4.68,0.15,31
15480,0.01,14.89,0.15,101
15481,0.01,4.51,0.06,74
15482,0.01,30.48,0.31,97
15483,0.01,19.54,0.22,88
15484,0.01,19.22,0.17,114
15485,0.04,2.13,0.08,27
15486,0.03,3.67,0.12,31
15487,0.02,13.38,0.26,52
15488,0.01,8.63,0.12,72
15489,0.01,10.77,0.16,66
15490,0.01,11.48,0.17,68
15491,0.01,14.89,0.21,70
15492,0.04,2.04,0.08,27
15493,0.02,10.34,0.21,50
15494,0.02,11.39,0.28,40
15495,0.02,14.74,0.29,51
15496,0.01,41.09,0.35,118
15497,0.01,17.63,0.2,89
15498,0.01,11.41,0.17,67
15499,0.03,12.12,0.39,31
15500,0.01,32.76,0.32,101
15501,0.03,22.16,0.6,37
15502,0.01,13.88,0.17,80
15503,0.1,1.05,0.11,10
15504,0.03,2.93,0.1,30
15505,0.01,20.87,0.22,94
15506,0.01,10.99,0.14,78
15507,0.02,6.85,0.12,57
15508,0.02,10.87,0.18,60
15509,0.02,8.48,0.21,41
15510,0.01,18.4,0.23,81
15511,0.02,13.02,0.29,45
15512,0.04,3.91,0.14,27
15513,0.02,5.29,0.11,47
15514,0.06,1.13,0.07,16
15515,0.02,13.02,0.27,48
15516,0.02,9.61,0.18,52
15517,0.02,10.05,0.16,63
15518,0.01,16.37,0.12,132
15519,0.02,7.31,0.14,53
15520,0.01,18.53,0.24,77
15521,0.02,10.56,0.2,54
15522,0.02,10.93,0.2,56
15523,0.02,8.4,0.14,60
15524,0.02,6.59,0.12,53
15525,0.01,29.99,0.39,76
15526,0.02,5.77,0.11,51
15527,0.01,17.43,0.2,86
15528,0.01,12.53,0.11,109
15529,0.01,14.49,0.17,84
15530,0.02,7.79,0.18,43
15531,0.01,8.35,0.12,72
15532,0.02,7.39,0.14,53
15533,0.01,9.09,0.1,93
15534,0.03,3.53,0.1,34
15535,0.02,5.88,0.11,54
15536,0.01,9.61,0.11,90
15537,0.02,6.09,0.11,53
15538,0.01,12.26,0.17,72
15539,0.03,6.38,0.17,37
15540,0.02,10.13,0.18,57
15541,0.03,5.23,0.15,36
15542,0.02,28.95,0.45,65
15543,0.02,13.23,0.23,58
15544,0.02,26.39,0.54,49
15545,0.02,10.64,0.21,50
15546,0.02,9.72,0.2,49
15547,0.02,16.21,0.29,55
15548,0.05,1.82,0.1,18
15549,0.01,13.16,0.14,92
15550,0.01,17.97,0.16,109
15551,0.02,13.74,0.25,55
15552,0.02,8.23,0.14,57
15553,0.06,2.08,0.12,18
15554,0.03,3.89,0.13,29
15555,0.03,5.58,0.14,41
15556,0.05,3.28,0.17,19
15557,0.01,16.8,0.22,75
15559,0.03,7.54,0.21,36
15560,0.01,19.15,0.26,73
15561,0.05,7.38,0.39,19
15562,0.04,7.99,0.31,26
15563,0.02,14.11,0.34,42
15564,0.02,23.23,0.42,55
15565,0.01,34.55,0.44,78
15566,0.01,39.64,0.38,104
15567,0.01,22.89,0.17,135
15568,0.02,12.2,0.22,55
15569,0.02,3.94,0.09,44
15570,0.02,15.67,0.25,62
15571,0.04,5.55,0.2,28
15572,0.02,5.48,0.13,41
15573,0.05,1.88,0.1,18
15574,0.01,13.17,0.16,80
15575,0.02,10.72,0.17,63
15576,0.02,24.33,0.48,51
15577,0.03,12.78,0.33,39
15578,0.03,17.31,0.48,36
15579,0.03,4.8,0.13,37
15580,0.03,24.18,0.62,39
15581,0.01,22.65,0.22,105
15582,0.05,2.61,0.13,20
15583,0.01,12.32,0.18,69
15584,0.02,9.76,0.24,41
15585,0.02,16.07,0.28,57
15586,0.01,14.37,0.16,91
15587,0.01,12.73,0.15,87
15588,0.01,25.35,0.37,68
15589,0.02,27.42,0.62,44
15590,0.01,20.61,0.25,81
15591,0.01,35.22,0.32,111
15592,0.01,22.37,0.25,90
15593,0.02,59.75,1.01,59
15594,0.02,14.42,0.27,53
15595,0.02,8.79,0.14,62
15596,0.01,20.37,0.18,111
15597,0.01,17.44,0.24,72
15598,0.02,39.61,0.61,65
15599,0.03,13.88,0.4,35
15600,0.02,19.0,0.36,53
15601,0.02,9.38,0.2,47
15602,0.02,9.72,0.19,51
15603,0.05,3.65,0.19,19
15604,0.02,16.18,0.28,57
15605,0.01,10.25,0.15,70
15606,0.01,30.2,0.3,101
15607,0.02,6.82,0.12,57
15608,0.01,9.82,0.13,76
15609,0.02,6.44,0.1,62
15610,0.02,6.96,0.12,56
15611,0.01,11.33,0.11,107
15612,0.05,2.33,0.11,21
15613,0.03,5.06,0.15,33
15614,0.01,6.95,0.1,69
15615,0.02,9.23,0.16,57
15616,0.03,3.78,0.1,37
15617,0.02,11.49,0.24,47
15618,0.01,18.94,0.25,77
15619,0.02,5.51,0.09,60
15620,0.02,10.1,0.17,60
15621,0.01,14.41,0.17,85
15622,0.01,19.16,0.15,125
15623,0.02,10.88,0.18,61
15624,0.0,17.4,0.08,209
15625,0.01,9.97,0.11,89
15626,0.01,14.5,0.14,104
15627,0.02,9.46,0.19,49
15628,0.01,12.77,0.11,116
15629,0.01,7.04,0.09,77
15630,0.01,11.91,0.15,78
15631,0.02,4.29,0.1,43
15632,0.03,4.88,0.14,34
15633,0.01,10.42,0.15,70
15634,0.04,2.31,0.1,23
15635,0.01,18.42,0.14,132
15636,0.01,18.2,0.15,121
15637,0.02,6.24,0.12,50
15638,0.02,4.95,0.1,51
15639,0.02,6.4,0.14,45
15640,0.01,19.25,0.21,90
15641,0.02,6.9,0.15,45
15642,0.04,2.66,0.1,26
15643,0.05,2.47,0.13,19
15644,0.01,10.28,0.15,70
15645,0.04,2.05,0.08,27
15646,0.01,18.86,0.19,99
15647,0.02,6.89,0.13,52
15648,0.01,7.26,0.1,72
15649,0.02,7.61,0.12,61
15650,0.03,6.07,0.18,33
15651,0.01,6.39,0.08,85
15652,0.02,5.84,0.13,45
15653,0.02,7.47,0.15,50
15654,0.02,6.28,0.15,43
15655,0.02,6.76,0.16,43
15656,0.06,1.43,0.08,17
15657,0.01,13.74,0.12,113
15658,0.06,1.36,0.08,18
15659,0.02,10.56,0.23,46
15660,0.04,3.51,0.15,23
15661,0.03,5.59,0.14,39
15662,0.02,4.19,0.07,63
15663,0.01,15.7,0.15,102
15664,0.04,4.84,0.2,24
15665,0.01,16.61,0.21,80
15666,0.04,4.53,0.18,25
15667,0.08,6.22,0.52,12
15668,0.02,17.09,0.31,56
15669,0.02,19.06,0.36,53
15670,0.02,12.49,0.2,63
15671,0.01,14.3,0.19,75
15672,0.03,9.22,0.28,33
15673,0.02,8.23,0.2,42
15674,0.02,18.86,0.29,64
15675,0.06,6.64,0.39,17
15676,0.03,12.95,0.38,34
15677,0.02,6.84,0.17,41
15678,0.03,12.95,0.35,37
15679,0.01,13.95,0.19,73
15680,0.01,17.11,0.16,110
15681,0.02,13.63,0.33,41
15682,0.02,18.25,0.29,62
15683,0.02,12.87,0.29,44
15684,0.02,13.39,0.23,57
15685,0.02,10.39,0.21,49
15686,0.02,13.76,0.25,55
15687,0.01,20.14,0.24,83
15688,0.02,7.36,0.14,52
15689,0.04,8.75,0.34,26
15690,0.01,20.29,0.25,82
15691,0.01,14.77,0.18,80
15692,0.03,4.06,0.11,37
15693,0.06,5.41,0.3,18
15694,0.02,16.41,0.35,47
15695,0.02,10.65,0.25,42
15696,0.01,17.29,0.24,71
15697,0.01,15.09,0.21,71
15698,0.01,16.17,0.24,67
15699,0.01,19.74,0.26,75
15700,0.02,7.12,0.17,43
15701,0.02,6.98,0.17,41
15702,0.01,15.32,0.22,69
15703,0.04,3.84,0.16,24
15704,0.02,15.81,0.39,41
15705,0.01,16.35,0.22,73
15706,0.03,11.24,0.36,31
15707,0.03,10.47,0.28,37
15708,0.01,15.33,0.18,84
15709,0.02,15.05,0.26,57
15710,0.03,7.84,0.27,29
15711,0.02,14.51,0.26,56
15712,0.03,9.51,0.26,36
15713,0.01,12.7,0.15,87
15714,0.01,10.7,0.09,114
15715,0.02,40.67,0.77,53
15716,0.02,38.41,0.94,41
15717,0.02,10.79,0.17,62
15718,0.02,16.27,0.26,63
15719,0.02,8.33,0.15,54
15720,0.03,4.53,0.12,38
15721,0.01,17.19,0.15,115
15722,0.01,15.96,0.23,68
15723,0.05,3.94,0.19,21
15724,0.02,16.24,0.25,64
15725,0.01,14.84,0.22,68
15726,0.02,4.34,0.09,50
15727,0.02,7.68,0.13,61
15729,0.02,21.67,0.48,45
15730,0.01,15.05,0.18,86
15731,0.01,9.55,0.11,84
15732,0.03,4.77,0.13,37
15733,0.01,14.4,0.12,119
15734,0.02,7.19,0.16,45
15735,0.02,16.64,0.36,46
15736,0.01,13.51,0.16,84
15737,0.02,9.69,0.22,45
15738,0.02,9.14,0.18,52
15739,0.04,1.37,0.05,25
15740,0.01,17.67,0.19,91
15742,0.02,11.76,0.26,45
15743,0.02,8.75,0.14,64
15744,0.02,14.93,0.28,54
15745,0.01,24.28,0.24,101
15746,0.01,22.64,0.15,147
15747,0.02,17.98,0.28,65
15748,0.01,20.31,0.23,90
15749,0.02,6.36,0.1,61
15750,0.01,19.21,0.15,130
15751,0.02,8.01,0.18,44
15752,0.03,7.04,0.18,39
15753,0.02,8.74,0.2,43
15754,0.02,10.67,0.17,62
15755,0.01,14.88,0.22,69
15756,0.02,11.33,0.2,56
15757,0.01,16.84,0.18,92
15758,0.01,17.97,0.26,68
15759,0.02,15.25,0.23,65
15760,0.01,10.33,0.14,72
15761,0.02,8.1,0.16,51
15762,0.01,18.17,0.2,90
15763,0.01,20.37,0.16,129
15764,0.02,10.94,0.23,48
15765,0.02,14.96,0.28,54
15766,0.02,10.83,0.19,56
15767,0.01,18.77,0.16,118
15768,0.01,14.78,0.14,107
15769,0.02,8.46,0.18,46
15770,0.05,2.72,0.14,19
15771,0.02,7.24,0.17,42
15772,0.03,13.12,0.34,39
15773,0.02,20.33,0.36,57
15774,0.02,11.37,0.26,43
15775,0.01,14.74,0.19,79
15776,0.01,10.72,0.1,103
15777,0.01,13.57,0.13,104
15778,0.01,19.75,0.25,78
15779,0.02,8.64,0.13,67
15780,0.02,15.15,0.23,66
15781,0.01,13.07,0.12,113
15782,0.08,2.7,0.21,13
15783,0.06,4.77,0.27,18
15784,0.03,7.47,0.2,38
