White_Player-ID,Game_ID,Black_Player_ID
volodyakedr,FWpWyRH4,davidc87
akssada,v6GYT7EO,davidc87
davidc87,5fgvTyw9,akssada
davidc87,gvaZQiqS,seethruwurmholes
karim85,rLsvy8P2,davidc87
bigfish5,lwdpW1Fg,davidc87
davidc87,v8nTkGS9,bigfish5
davidc87,504luGZQ,mysticalwizard
arganon,m9cITAtR,davidc87
krish1991,TgaSarp1,davidc87
davidc87,Dk6LXhcG,krish1991
davidc87,tEnKiqrf,krish1991
davidc87,PKqqtqMy,xadrezzchess
xadrezzchess,vFN21bTF,davidc87
alemiha,YQWa7tmr,davidc87
davidc87,JyUeznff,paolomath
davidc87,ucnN1vp9,red_car
pradeepbabu,9QXJGIF7,davidc87
davidc87,JidILpa0,vinoth
davidc87,xMxtUv98,lasker50
davidc87,jp1CCAiI,naderat65
davidc87,ZyEr0qfx,shahidhuss
shahidhuss,uArIui9r,davidc87
shahidhuss,Dv35d1E3,davidc87
shahidhuss,Ww8ZxIxp,davidc87
vinothkumar_k,soDayB3Q,davidc87
ascarllsiul,Su3yQC2v,ramin6009
ed5,Ql8BiGtd,ramin6009
tetra,wyq18DYh,ramin6009
laguigne,peeLRjJj,ramin6009
ramin6009,jFZC8eUz,sergey-aero
braneee,JvaAXwsj,engcondor
engcondor,bTl9McXe,lesnik1
dinumau,Cvqy9r2Z,engcondor
zbakov,ybmyI41z,engcondor
rbfbr,brRIdRzh,engcondor
atz,5wbwJLj1,engcondor
zamuradnisa,nTMzwDzA,engcondor
brancaleonenorcia,V8E1hVAZ,engcondor
juanpa07,tLsTP8ca,engcondor
engcondor,Jl9LoR40,mamontidla
gallero2015,BnNlw0f4,engcondor
akao,YPC0Txsk,engcondor
ascarllsiul,GeoJoFs0,engcondor
engcondor,ARXqvyOE,masterkordkuy
engcondor,eqQGtFvl,mavrincbor
mironi,CNaHFyod,engcondor
piotr1967,4c4rhxXO,engcondor
bakkara,OzJtdamz,engcondor
asskicker135,3VvXk4L1,engcondor
bilrost,yea06Ypr,engcondor
v-hellsing,ECCF4ee3,engcondor
guppless,iSKk4ckr,engcondor
odnoselchanin,5KMMpLTO,engcondor
engcondor,9DB1TnYy,razelanout
engcondor,7k8QeI9Z,erdem81
dakotar,Vp0XR6HU,chases
dakotar,LWqX3CfW,chases
montecristo,QoezbVcW,chases
chases,tBWeqmw2,baytalmaqdis
chases,zdSpmbt5,nadderud
smederevac,rxLOMyUo,chases
sr1340,lhxpRhu6,chases
ze_cat,kPXm1yCq,inserthere
yht,59ff4N6H,avojan
afshin135,2qGLE7ir,yht
yht,Uoe9up0s,hossein5151
yht,RuHlwQEe,masterbigsuff
yht,qyyJeVj8,masterbigsuff
yht,XdtidcM9,masterbigsuff
sklibur,gENhjY12,yht
morteza0088996655,sxWWj2rK,yht
morteza0088996655,geYkmEU0,yht
yht,BfVNuoo1,morteza0088996655
morteza0088996655,39RyjZ7h,yht
x2o97,lG2DQSFG,yht
poster,KPyvpZmW,yht
raminder57,Zb03JOBE,yht
x2o97,wVYBmOsX,yht
hurameshi,hGHnjl8h,yht
diba-rad,XSUAQ0ND,yht
x2o97,oVAh4Lhy,yht
twrn,fshctHjX,yht
suskunkral,oeKZfbZM,mashi
al-ol-da55,XrrSqsLH,mashi
mashi,wqVfMtL1,ivox100
mashi,hywQiDO9,hasseplayschess
sanskrit,c2jR4LLr,mashi
mashi,uLpKebwX,chrisg97
mashi,NxiFn3UA,javaz
fabri18,wsVUrD0r,mashi
hidanao,KCkUGpOT,mashi
tekechec,QrDl6KmE,mashi
mashi,0v0BpkZ5,tekechec
shamusokeefe,DWSeTh4w,mashi
nicknick33,KQUiTt7P,mashi
mashi,uPhqRqbs,martanietzsche
mashi,UtNlgfdi,ketan_a_mahajan
mashi,kHmSQxwH,thekingdomcome
mashi,j7WgO6Pq,wargoss
wargoss,AsWSYyDc,mashi
mashi,8JrLiPoU,bugatsinho
texas-ram,1EoQv5mm,mashi
mashi,x2cwpcrI,anactacia
norok_orion,q4qoJqKJ,mashi
pawnisle,AxGtAluc,mashi
mashi,p1OQCGtH,elturko27
mashi,NK4gRxUv,pmcheater
lavinia5,IVplPQB8,mashi
mcervants,xi7UTE9O,mashi
mashi,CBYqHsP1,bear_1102
said295,LeQiPby9,mashi
bosko1,lMieuDBG,mashi
daniil90,YmvxwgHG,mashi
mashi,Pl7ZdGbT,daniil90
mashi,a3bZLPeJ,z257275
